resnet_label,imagenet_a_label,name
0,1440764,"tench, Tinca tinca"
1,1443537,"goldfish, Carassius auratus"
2,1484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
3,1491361,"tiger shark, Galeocerdo cuvieri"
4,1494475,"hammerhead, hammerhead shark"
5,1496331,"electric ray, crampfish, numbfish, torpedo"
6,1498041,stingray
7,1514668,cock
8,1514859,hen
9,1518878,"ostrich, Struthio camelus"
10,1530575,"brambling, Fringilla montifringilla"
11,1531178,"goldfinch, Carduelis carduelis"
12,1532829,"house finch, linnet, Carpodacus mexicanus"
13,1534433,"junco, snowbird"
14,1537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
15,1558993,"robin, American robin, Turdus migratorius"
16,1560419,bulbul
17,1580077,jay
18,1582220,magpie
19,1592084,chickadee
20,1601694,"water ouzel, dipper"
21,1608432,kite
22,1614925,"bald eagle, American eagle, Haliaeetus leucocephalus"
23,1616318,vulture
24,1622779,"great grey owl, great gray owl, Strix nebulosa"
25,1629819,"European fire salamander, Salamandra salamandra"
26,1630670,"common newt, Triturus vulgaris"
27,1631663,eft
28,1632458,"spotted salamander, Ambystoma maculatum"
29,1632777,"axolotl, mud puppy, Ambystoma mexicanum"
30,1641577,"bullfrog, Rana catesbeiana"
31,1644373,"tree frog, tree-frog"
32,1644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
33,1664065,"loggerhead, loggerhead turtle, Caretta caretta"
34,1665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
35,1667114,mud turtle
36,1667778,terrapin
37,1669191,"box turtle, box tortoise"
38,1675722,banded gecko
39,1677366,"common iguana, iguana, Iguana iguana"
40,1682714,"American chameleon, anole, Anolis carolinensis"
41,1685808,"whiptail, whiptail lizard"
42,1687978,agama
43,1688243,"frilled lizard, Chlamydosaurus kingi"
44,1689811,alligator lizard
45,1692333,"Gila monster, Heloderma suspectum"
46,1693334,"green lizard, Lacerta viridis"
47,1694178,"African chameleon, Chamaeleo chamaeleon"
48,1695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
49,1697457,"African crocodile, Nile crocodile, Crocodylus niloticus"
50,1698640,"American alligator, Alligator mississipiensis"
51,1704323,triceratops
52,1728572,"thunder snake, worm snake, Carphophis amoenus"
53,1728920,"ringneck snake, ring-necked snake, ring snake"
54,1729322,"hognose snake, puff adder, sand viper"
55,1729977,"green snake, grass snake"
56,1734418,"king snake, kingsnake"
57,1735189,"garter snake, grass snake"
58,1737021,water snake
59,1739381,vine snake
60,1740131,"night snake, Hypsiglena torquata"
61,1742172,"boa constrictor, Constrictor constrictor"
62,1744401,"rock python, rock snake, Python sebae"
63,1748264,"Indian cobra, Naja naja"
64,1749939,green mamba
65,1751748,sea snake
66,1753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
67,1755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus"
68,1756291,"sidewinder, horned rattlesnake, Crotalus cerastes"
69,1768244,trilobite
70,1770081,"harvestman, daddy longlegs, Phalangium opilio"
71,1770393,scorpion
72,1773157,"black and gold garden spider, Argiope aurantia"
73,1773549,"barn spider, Araneus cavaticus"
74,1773797,"garden spider, Aranea diademata"
75,1774384,"black widow, Latrodectus mactans"
76,1774750,tarantula
77,1775062,"wolf spider, hunting spider"
78,1776313,tick
79,1784675,centipede
80,1795545,black grouse
81,1796340,ptarmigan
82,1797886,"ruffed grouse, partridge, Bonasa umbellus"
83,1798484,"prairie chicken, prairie grouse, prairie fowl"
